Ano,cod_ibge,Municipio,Furto de veículo 2018,Furto outros 2018,Homicídio culposo outros 2018,Homicídio culposo por acidente de trânsito 2018,Latrocínio 2018,Lesão corporal culposa outras 2018,Lesão corporal culposa por acidente de trânsito 2018,Lesão corporal dolosa 2018,Vítimas de homicídio 2018,Tentativa de homicídio 2018,Total de estupro 2018,Total de Roubo 2018,Indice Criminalidade 2018,Classificação 2018
2018,3500105,Adamantina,12,170,0,1,0,5,171,151,2,1,8,6,0.20531552783890983,Baixo
2018,3500204,Adolfo,1,44,0,0,0,0,3,25,0,0,1,3,0.37638290343957853,Baixo
2018,3500303,Aguai,10,286,0,5,0,0,37,92,2,1,6,53,0.18700735690829745,Muito Baixo
2018,3500402,Aguas da Prata,3,49,0,1,0,0,9,18,0,0,0,2,0.12733940385176487,Muito Baixo
2018,3500501,Aguas de Lindoia,21,157,0,4,0,0,15,78,1,1,9,14,0.2842340391116118,Baixo
2018,3500550,Aguas de Santa Barbara,3,41,0,1,0,0,9,12,0,1,2,2,0.08970471038364423,Muito Baixo
2018,3500600,Aguas de Sao Pedro,3,18,0,0,0,0,8,10,0,0,0,0,0.19190326189863677,Muito Baixo
2018,3500709,Agudos,34,366,0,2,0,0,75,170,5,5,23,53,0.2993766769731599,Baixo
2018,3500758,Alambari,2,39,0,1,0,0,10,22,0,1,4,4,0.20993716766932619,Baixo
2018,3500808,Alfredo Marcondes,0,14,0,1,0,0,7,8,0,0,1,0,0.05030819021033647,Muito Baixo
2018,3500907,Altair,2,12,0,1,0,0,0,18,1,2,1,2,0.22812606017868245,Baixo
2018,3501004,Altinopolis,4,149,1,4,0,0,36,49,0,0,6,7,0.20526207584653308,Baixo
2018,3501103,Alto Alegre,1,21,0,0,0,0,2,16,0,0,2,0,0.18086883213177107,Muito Baixo
2018,3501152,Aluminio,15,135,0,1,0,1,14,43,0,0,6,20,0.15539246066454518,Muito Baixo
2018,3501202,Alvares Florence,1,35,0,0,0,0,7,23,0,0,1,4,0.3348584008987107,Baixo
2018,3501301,Alvares Machado,8,171,0,4,0,4,61,120,4,10,5,12,0.24920444847669054,Baixo
2018,3501400,Alvaro de Carvalho,3,29,0,0,0,0,3,17,0,0,1,3,0.17612521955936927,Muito Baixo
2018,3501509,Alvinlandia,0,15,0,1,0,0,6,12,2,1,2,2,0.20247256055037643,Baixo
2018,3501608,Americana,1212,2496,2,20,1,14,912,699,10,12,29,654,0.30224889388124243,Baixo
2018,3501707,Americo Brasiliense,29,252,0,0,0,6,31,103,1,7,9,47,0.18002464613409672,Muito Baixo
2018,3501806,Americo de Campos,0,75,0,0,0,0,5,24,1,0,3,3,0.2963021695572691,Baixo
2018,3501905,Amparo,47,539,0,7,1,3,223,203,3,3,25,81,0.18651182873555006,Muito Baixo
2018,3502002,Analandia,2,56,0,2,0,0,2,31,0,1,1,4,0.4759337178586814,Médio
2018,3502101,Andradina,33,778,0,4,0,3,216,256,6,12,12,65,0.33323713803740074,Baixo
2018,3502200,Angatuba,9,166,0,2,1,0,32,74,0,0,7,22,0.17546737089126713,Muito Baixo
2018,3502309,Anhembi,0,31,0,0,0,0,10,30,1,1,4,5,0.2473998130878132,Baixo
2018,3502408,Anhumas,1,21,0,0,0,6,0,16,0,1,2,0,0.2446633845433961,Baixo
2018,3502507,Aparecida,27,439,1,1,1,8,101,156,7,0,12,93,0.35565212590830525,Baixo
2018,3502606,Aparecida d'Oeste,0,23,0,0,0,0,5,21,0,0,2,0,0.22940999696310863,Baixo
2018,3502705,Apiai,11,242,0,2,0,1,44,116,2,0,17,9,0.2922270934541441,Baixo
2018,3502754,Aracariguama,16,194,0,11,2,1,19,54,2,3,4,56,0.23770886444308328,Baixo
2018,3502804,Aracatuba,198,2280,0,18,3,19,1386,815,25,40,70,350,0.3112757697933758,Baixo
2018,3502903,Aracoiaba da Serra,11,334,0,5,0,1,19,103,2,0,15,50,0.24379438259813913,Baixo
2018,3503000,Aramina,2,51,0,2,0,0,2,22,0,0,1,8,0.2769180527406356,Baixo
2018,3503109,Arandu,0,26,0,1,0,0,6,24,0,1,4,2,0.147686819655081,Muito Baixo
2018,3503158,Arapei,0,12,0,1,0,0,3,25,0,0,0,2,0.5396401736742957,Médio
2018,3503208,Araraquara,308,2725,4,30,0,27,260,849,16,14,82,458,0.29264511096324325,Baixo
2018,3503307,Araras,335,1380,0,11,0,4,740,603,4,11,29,269,0.3487475383878404,Baixo
2018,3503356,Arco-Iris,0,6,0,0,0,0,2,5,0,0,0,0,0.062448048228840126,Muito Baixo
2018,3503406,Arealva,3,92,0,1,0,1,10,60,2,4,6,4,0.4741490721136832,Médio
2018,3503505,Areias,0,18,0,1,0,0,2,20,0,0,1,0,0.27276743402959314,Baixo
2018,3503604,Areiopolis,2,28,0,0,0,1,8,38,1,1,2,4,0.12745474337179633,Muito Baixo
2018,3503703,Ariranha,6,41,0,0,0,2,9,46,0,1,1,2,0.2913871969814115,Baixo
2018,3503802,Artur Nogueira,67,382,0,8,1,1,135,199,3,2,11,77,0.25258192625163556,Baixo
2018,3503901,Aruja,217,575,0,7,1,3,119,316,12,9,47,353,0.24074217528436295,Baixo
2018,3503950,Aspasia,0,2,0,0,0,0,2,5,0,0,1,0,0.046712901688160155,Muito Baixo
2018,3504008,Assis,108,838,1,12,0,8,460,358,6,13,27,130,0.2311408256648432,Baixo
2018,3504107,Atibaia,246,1620,0,20,1,1,237,516,12,15,54,401,0.27094051867196667,Baixo
2018,3504206,Auriflama,4,77,0,0,0,3,22,59,1,3,3,4,0.2058499795391636,Baixo
2018,3504305,Avai,0,37,1,2,0,0,6,33,0,1,3,4,0.4241531270211975,Médio
2018,3504404,Avanhandava,5,81,0,3,0,0,18,48,2,1,7,9,0.24241241177590855,Baixo
2018,3504503,Avare,39,731,0,6,0,10,342,422,1,1,36,47,0.2729587029330459,Baixo
2018,3504602,Bady Bassitt,16,188,0,2,0,2,37,56,1,1,11,10,0.1603050655018585,Muito Baixo
2018,3504701,Balbinos,1,5,0,0,0,0,0,20,1,0,1,0,0.18847919146529857,Muito Baixo
2018,3504800,Balsamo,3,79,0,0,0,0,7,41,0,1,2,3,0.2588149130737765,Baixo
2018,3504909,Bananal,4,33,0,0,0,0,6,33,0,2,6,1,0.11430547713561755,Muito Baixo
2018,3505005,Barao de Antonina,1,10,0,1,0,0,2,8,0,0,1,0,0.07941411720542552,Muito Baixo
2018,3505104,Barbosa,1,80,0,1,0,0,11,39,0,3,4,2,0.4459323422982495,Médio
2018,3505203,Bariri,18,383,0,4,0,0,42,148,0,0,8,30,0.33330323025566655,Baixo
2018,3505302,Barra Bonita,55,305,0,4,0,0,77,146,1,1,11,37,0.27239037645953273,Baixo
2018,3505351,Barra do Chapeu,0,25,0,0,0,1,3,14,0,0,3,1,0.10834054332505465,Muito Baixo
2018,3505401,Barra do Turvo,1,93,0,1,0,0,3,26,6,4,1,15,0.28394579224558103,Baixo
2018,3505500,Barretos,231,2586,0,9,1,29,260,487,4,12,34,161,0.4748663407502367,Médio
2018,3505609,Barrinha,25,204,0,3,0,3,14,82,1,6,13,61,0.14763187431251723,Muito Baixo
2018,3505708,Barueri,474,2029,0,17,3,20,883,795,10,22,83,992,0.16693778021898115,Muito Baixo
2018,3505807,Bastos,3,121,0,0,0,1,72,101,0,3,12,5,0.22804585808648084,Baixo
2018,3505906,Batatais,63,523,0,7,0,3,115,123,2,3,17,45,0.16203571423361865,Muito Baixo
2018,3506003,Bauru,625,5241,2,17,0,14,1107,1746,23,25,145,777,0.382623955384367,Baixo
2018,3506102,Bebedouro,107,767,0,11,0,6,299,304,5,4,15,106,0.28347158427641767,Baixo
2018,3506201,Bento de Abreu,0,23,0,0,0,0,0,8,0,0,1,1,0.17649396081691446,Muito Baixo
2018,3506300,Bernardino de Campos,4,105,0,1,0,0,18,72,0,0,4,1,0.3734836829619703,Baixo
2018,3506359,Bertioga,74,959,0,13,1,17,70,266,8,10,22,293,0.41997000457092004,Médio
2018,3506409,Bilac,1,38,0,0,0,3,23,26,0,0,1,6,0.17104099331678901,Muito Baixo
2018,3506508,Birigui,136,1571,0,10,1,8,664,385,6,11,17,193,0.29300789975385316,Baixo
2018,3506607,Biritiba Mirim,17,272,0,7,1,1,23,88,1,1,16,35,0.21332331761750828,Baixo
2018,3506706,Boa Esperanca do Sul,2,103,0,1,0,2,2,82,0,3,5,12,0.3452154181768841,Baixo
2018,3506805,Bocaina,4,92,0,4,0,2,8,42,1,0,2,16,0.24521427131840082,Baixo
2018,3506904,Bofete,1,44,1,3,0,0,27,35,1,0,5,1,0.15963600814452159,Muito Baixo
2018,3507001,Boituva,125,502,0,10,0,0,130,209,5,7,19,105,0.25937614468373665,Baixo
2018,3507100,Bom Jesus dos Perdoes,28,172,0,3,0,0,24,79,0,5,9,45,0.23493675903564123,Baixo
2018,3507159,Bom Sucesso de Itarare,2,17,0,1,0,0,1,18,0,0,4,0,0.25414869071023,Baixo
2018,3507209,Bora,1,6,0,1,0,0,0,5,0,0,2,0,0.3832383390674824,Baixo
2018,3507308,Boraceia,3,44,0,0,0,0,1,19,0,0,2,0,0.2622429468106256,Baixo
2018,3507407,Borborema,3,102,0,3,0,4,14,56,2,4,7,11,0.2264078276609865,Baixo
2018,3507456,Borebi,0,19,0,0,0,0,1,11,0,0,1,1,0.22141101084695886,Baixo
2018,3507506,Botucatu,28,1002,0,9,0,10,475,522,4,5,61,44,0.20280884432232854,Baixo
2018,3507605,Braganca Paulista,223,1738,0,30,2,9,337,610,7,12,23,277,0.2723669449825542,Baixo
2018,3507704,Brauna,0,24,0,1,0,0,2,30,0,1,1,3,0.269255466108436,Baixo
2018,3507753,Brejo Alegre,2,29,0,0,0,0,4,8,0,0,2,2,0.23004240704339005,Baixo
2018,3507803,Brodowski,15,256,0,2,0,0,28,83,0,0,17,38,0.24746362248735287,Baixo
2018,3507902,Brotas,15,258,0,2,0,0,43,85,1,4,11,16,0.2646580904483365,Baixo
2018,3508009,Buri,3,187,0,2,0,0,10,80,1,3,17,13,0.25282537251227905,Baixo
2018,3508108,Buritama,4,224,0,2,0,1,48,94,1,4,3,14,0.3999352710133494,Baixo
2018,3508207,Buritizal,2,55,0,3,0,0,3,18,1,0,2,4,0.3607294602793621,Baixo
2018,3508306,Cabralia Paulista,0,74,0,0,0,0,6,26,1,0,2,2,0.4571947839690616,Médio
2018,3508405,Cabreuva,30,246,0,7,0,3,62,160,2,8,12,52,0.17832514313560813,Muito Baixo
2018,3508504,Cacapava,239,934,0,21,1,0,107,214,11,6,15,428,0.2156350740168449,Baixo
2018,3508603,Cachoeira Paulista,29,246,0,4,0,1,45,119,3,4,7,46,0.23122482055417587,Baixo
2018,3508702,Caconde,12,143,0,1,0,1,18,68,0,1,5,11,0.22935785156262323,Baixo
2018,3508801,Cafelandia,5,172,0,3,0,1,14,33,1,0,3,5,0.16502641394000403,Muito Baixo
2018,3508900,Caiabu,0,17,0,1,0,0,2,16,0,0,0,0,0.19045724196022631,Muito Baixo
2018,3509007,Caieiras,91,463,0,4,1,26,117,318,3,5,30,223,0.17283907543433416,Muito Baixo
2018,3509106,Caiua,1,30,0,0,0,0,0,22,0,1,4,0,0.1927478183913533,Muito Baixo
2018,3509205,Cajamar,109,523,0,12,0,0,126,268,7,5,32,247,0.1817845719460063,Muito Baixo
2018,3509254,Cajati,15,276,0,7,1,0,37,122,0,0,15,76,0.28453741744034017,Baixo
2018,3509304,Cajobi,6,104,0,1,0,0,9,61,2,0,3,1,0.4154663028945784,Médio
2018,3509403,Cajuru,7,207,0,2,0,4,18,108,0,4,3,20,0.27475596528359014,Baixo
2018,3509452,Campina do Monte Alegre,1,55,0,1,0,0,0,19,1,1,2,4,0.21518743886395203,Baixo
2018,3509502,Campinas,3849,16282,5,77,5,22,2264,3314,143,69,269,7034,0.3188223458443273,Baixo
2018,3509601,Campo Limpo Paulista,170,775,1,8,3,11,182,315,5,1,17,370,0.3047409032892972,Baixo
2018,3509700,Campos do Jordao,7,414,0,5,0,16,60,165,4,3,17,62,0.22428294480801533,Baixo
2018,3509809,Campos Novos Paulista,1,21,0,1,0,0,2,6,0,0,3,1,0.03635199621388824,Muito Baixo
2018,3509908,Cananeia,4,140,0,3,0,1,17,119,1,5,9,7,0.5939961148458887,Médio
2018,3509957,Canas,3,53,0,1,0,0,7,16,2,2,1,14,0.25748675423245887,Baixo
2018,3510005,Candido Mota,17,238,0,5,0,0,48,69,0,2,7,17,0.14967054801735827,Muito Baixo
2018,3510104,Candido Rodrigues,1,16,0,0,0,0,3,8,0,0,0,0,0.127609354442241,Muito Baixo
2018,3510153,Canitar,2,23,0,0,0,0,5,13,1,1,1,3,0.07581806777674473,Muito Baixo
2018,3510203,Capao Bonito,15,424,0,3,1,2,116,174,5,2,18,68,0.23429122934991317,Baixo
2018,3510302,Capela do Alto,21,157,0,3,1,0,19,66,0,3,9,14,0.1930088181328305,Muito Baixo
2018,3510401,Capivari,66,297,2,7,0,0,77,187,1,4,15,54,0.20800040459282332,Baixo
2018,3510500,Caraguatatuba,152,2027,0,9,2,13,236,627,20,32,63,638,0.4315720737166523,Médio
2018,3510609,Carapicuiba,798,1761,3,12,1,3,446,560,32,28,90,3312,0.0668386979348878,Muito Baixo
2018,3510708,Cardoso,0,192,0,3,0,1,32,72,0,2,4,3,0.48352375719435303,Médio
2018,3510807,Casa Branca,18,249,1,8,0,0,62,168,3,1,12,25,0.36469108633333597,Baixo
2018,3510906,Cassia dos Coqueiros,0,20,0,0,0,0,0,11,0,0,1,3,0.20512313558976714,Baixo
2018,3511003,Castilho,1,241,0,2,1,0,51,90,2,7,5,19,0.3307149808229327,Baixo
2018,3511102,Catanduva,179,1131,1,10,0,9,644,519,9,4,31,130,0.30554816766299003,Baixo
2018,3511201,Catigua,1,58,0,1,0,1,12,33,0,0,3,2,0.2733517904910747,Baixo
2018,3511300,Cedral,3,87,0,5,0,0,23,34,0,1,2,7,0.2043461993471412,Baixo
2018,3511409,Cerqueira Cesar,10,126,0,6,0,0,32,111,0,0,7,4,0.29833958866879084,Baixo
2018,3511508,Cerquilho,67,315,0,3,1,0,126,124,0,0,14,128,0.17886776092022558,Muito Baixo
2018,3511607,Cesario Lange,8,143,0,3,0,0,34,44,2,1,10,27,0.15435792856827335,Muito Baixo
2018,3511706,Charqueada,7,107,0,0,0,0,8,45,2,1,2,38,0.1515617699549214,Muito Baixo
2018,3511904,Clementina,1,62,0,2,0,2,22,24,0,1,1,3,0.23046257770399153,Baixo
2018,3512001,Colina,15,208,0,4,0,5,45,53,1,2,2,18,0.25107254983753863,Baixo
2018,3512100,Colombia,5,65,0,2,0,1,4,30,1,3,5,17,0.3206502640504245,Baixo
2018,3512209,Conchal,33,289,0,2,0,1,116,125,2,3,5,108,0.3148530646396179,Baixo
2018,3512308,Conchas,2,99,0,2,0,0,14,59,0,0,5,9,0.19220350982936432,Muito Baixo
2018,3512407,Cordeiropolis,27,301,1,2,0,1,102,107,3,0,12,59,0.3506173988665849,Baixo
2018,3512506,Coroados,3,35,0,2,0,5,16,18,0,1,3,1,0.22803666066890663,Baixo
2018,3512605,Coronel Macedo,4,16,0,1,0,0,4,22,1,0,2,0,0.2222597092499231,Baixo
2018,3512704,Corumbatai,8,50,0,1,0,0,12,12,1,0,2,11,0.2712294497034185,Baixo
2018,3512803,Cosmopolis,128,592,0,7,0,5,136,235,7,7,11,194,0.2876468702837914,Baixo
2018,3512902,Cosmorama,6,79,0,2,0,1,23,25,0,1,5,0,0.22616116507139705,Baixo
2018,3513009,Cotia,304,1716,0,14,1,8,507,457,16,19,51,1535,0.10998542014542163,Muito Baixo
2018,3513108,Cravinhos,29,182,0,5,0,1,55,120,3,6,11,53,0.18741699874729387,Muito Baixo
2018,3513207,Cristais Paulista,3,113,0,1,0,2,5,23,3,1,5,1,0.2438326949105354,Baixo
2018,3513306,Cruzalia,0,7,0,0,0,0,0,9,0,0,0,0,0.15324712858782963,Muito Baixo
2018,3513405,Cruzeiro,59,767,2,5,1,6,119,303,18,20,19,124,0.2706215131597354,Baixo
2018,3513504,Cubatao,102,993,2,20,1,10,121,262,6,25,32,685,0.16596378193803238,Muito Baixo
2018,3513603,Cunha,12,154,0,1,0,0,18,58,2,4,4,29,0.14173972039669652,Muito Baixo
2018,3513702,Descalvado,17,227,0,5,1,0,8,106,0,5,3,41,0.19328526809161076,Muito Baixo
2018,3513801,Diadema,1032,3443,0,18,10,34,631,902,35,22,83,6216,0.1872556795756736,Muito Baixo
2018,3513850,Dirce Reis,0,2,0,1,0,0,0,3,0,1,0,0,0.04225688834934376,Muito Baixo
2018,3513900,Divinolandia,6,70,0,1,0,0,23,27,0,1,2,6,0.12174090407524091,Muito Baixo
2018,3514007,Dobrada,3,41,0,0,0,0,3,8,1,3,2,10,0.01324852858964057,Muito Baixo
2018,3514106,Dois Corregos,17,208,1,4,0,4,27,120,1,6,6,16,0.2999611555252022,Baixo
2018,3514205,Dolcinopolis,2,10,0,1,0,0,0,11,0,1,1,0,0.271013951997819,Baixo
2018,3514304,Dourado,4,65,0,3,0,0,5,32,0,0,4,1,0.23917913199167196,Baixo
2018,3514403,Dracena,14,521,0,7,1,7,292,227,0,1,13,14,0.3519291363789101,Baixo
2018,3514502,Duartina,4,71,0,1,0,3,15,39,0,1,2,2,0.16025976826408106,Muito Baixo
2018,3514601,Dumont,2,49,0,0,0,0,5,32,0,0,5,15,0.1609501803212903,Muito Baixo
2018,3514700,Echapora,0,27,0,1,0,0,6,23,1,0,3,0,0.1560776744949977,Muito Baixo
2018,3514809,Eldorado,7,86,0,4,0,0,16,72,0,3,9,7,0.28687730209602025,Baixo
2018,3514908,Elias Fausto,13,82,0,0,0,0,25,69,0,1,4,18,0.18371045747873732,Muito Baixo
2018,3514924,Elisiario,0,18,0,1,0,0,5,13,0,0,2,1,0.2115257725106783,Baixo
2018,3514957,Embauba,0,15,0,1,0,0,1,7,0,1,0,0,0.16665336121557175,Muito Baixo
2018,3515004,Embu das Artes,265,576,0,8,3,26,145,612,32,37,90,1407,0.07396609106455597,Muito Baixo
2018,3515129,Emilianopolis,0,11,0,0,0,0,2,16,0,0,2,0,0.21850499642005514,Baixo
2018,3515152,Engenheiro Coelho,9,149,0,1,0,0,19,81,4,3,4,34,0.2565768148846128,Baixo
2018,3515186,Espirito Santo do Pinhal,24,325,0,5,1,0,98,186,1,2,9,40,0.2691854231254564,Baixo
2018,3515194,Espirito Santo do Turvo,0,24,0,1,0,0,6,25,0,0,3,7,0.3058167778101446,Baixo
2018,3515202,Estrela d'Oeste,5,45,0,0,0,0,12,23,1,0,3,2,0.10451022176971979,Muito Baixo
2018,3515301,Estrela do Norte,1,16,0,1,0,0,4,11,0,0,0,4,0.22129260848278626,Baixo
2018,3515350,Euclides da Cunha Paulista,3,88,0,1,0,0,2,30,0,0,3,1,0.24114852644447268,Baixo
2018,3515400,Fartura,9,184,0,1,0,0,21,132,1,0,13,4,0.5012535459882193,Médio
2018,3515509,Fernandopolis,36,533,0,9,2,4,357,276,0,3,21,22,0.2348315374576833,Baixo
2018,3515608,Fernando Prestes,3,41,0,5,1,0,11,40,0,0,1,1,0.4394413492353774,Médio
2018,3515657,Fernao,0,14,0,0,0,0,1,3,0,0,1,0,0.11392870926314118,Muito Baixo
2018,3515707,Ferraz de Vasconcelos,300,933,1,3,2,108,85,324,8,6,37,1283,0.11473441164849414,Muito Baixo
2018,3515806,Flora Rica,0,6,0,0,0,0,1,8,0,0,0,1,0.20846699836221136,Baixo
2018,3515905,Floreal,1,30,0,1,0,1,7,21,0,0,0,1,0.4793507348074967,Médio
2018,3516002,Florida Paulista,0,32,0,2,0,3,28,52,2,2,8,1,0.1550125079205059,Muito Baixo
2018,3516200,Franca,554,4863,4,36,2,31,989,886,11,21,46,455,0.2738681958167291,Baixo
2018,3516309,Francisco Morato,176,1008,0,3,0,5,103,180,19,5,51,1008,0.05732858415752183,Muito Baixo
2018,3516408,Franco da Rocha,154,766,1,8,1,1,150,507,12,13,72,647,0.18066477890207278,Muito Baixo
2018,3516507,Gabriel Monteiro,1,5,0,0,0,0,4,7,0,0,1,1,0.05158437994877849,Muito Baixo
2018,3516606,Galia,1,71,0,2,0,0,4,40,0,0,2,9,0.38938848464507597,Baixo
2018,3516705,Garca,37,639,0,0,0,5,153,209,1,2,14,45,0.3899968057190782,Baixo
2018,3516804,Gastao Vidigal,0,14,0,1,0,0,1,24,0,1,1,0,0.3141657965076273,Baixo
2018,3516853,Gaviao Peixoto,5,16,0,0,0,0,5,16,2,0,2,2,0.13814833326286283,Muito Baixo
2018,3516903,General Salgado,5,49,0,2,0,1,13,37,0,0,5,6,0.16650480967238515,Muito Baixo
2018,3517000,Getulina,1,78,0,2,0,0,11,56,1,1,13,5,0.29625739030990705,Baixo
2018,3517109,Glicerio,0,30,0,1,0,0,4,19,0,0,2,1,0.23946866533033362,Baixo
2018,3517208,Guaicara,8,172,0,3,0,2,12,50,2,2,3,19,0.3951870501438334,Baixo
2018,3517307,Guaimbe,0,36,0,1,0,0,3,54,1,0,0,1,0.5158927171142149,Médio
2018,3517406,Guaira,27,563,0,1,0,5,87,270,5,6,18,24,0.4916398144396883,Médio
2018,3517505,Guapiacu,8,122,0,3,0,5,30,64,0,1,6,11,0.16741751650086567,Muito Baixo
2018,3517604,Guapiara,7,108,1,0,0,0,18,56,0,0,7,7,0.1570944477499837,Muito Baixo
2018,3517703,Guara,9,429,0,2,0,0,15,104,1,1,2,17,0.5272475563048259,Médio
2018,3517802,Guaracai,2,46,0,3,0,0,11,40,0,0,1,1,0.2743497662022281,Baixo
2018,3517901,Guaraci,6,74,0,1,0,3,24,81,0,4,2,2,0.4392075040450286,Médio
2018,3518008,Guarani d'Oeste,1,11,0,0,0,0,1,10,0,2,3,0,0.24714635414887506,Baixo
2018,3518107,Guaranta,0,75,0,1,0,0,12,46,0,2,4,8,0.4503010999755139,Médio
2018,3518206,Guararapes,10,310,0,4,0,12,91,107,3,3,6,26,0.2473552400315575,Baixo
2018,3518305,Guararema,18,290,1,4,0,0,42,104,2,8,13,63,0.24193643341111917,Baixo
2018,3518404,Guaratingueta,68,917,1,9,0,10,336,226,40,41,19,330,0.12619615722913302,Muito Baixo
2018,3518503,Guarei,12,125,0,3,0,0,12,29,1,2,2,10,0.1411432981153057,Muito Baixo
2018,3518602,Guariba,35,279,0,1,0,1,13,82,3,5,12,65,0.13392733981974472,Muito Baixo
2018,3518701,Guaruja,262,2626,0,18,1,20,349,765,22,44,73,2428,0.182500807384681,Muito Baixo
